timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 14:04:17.067, 0, 7633 MiB, 0 %, 97.36 W
2026/09/10 14:04:18.071, 0, 7633 MiB, 35 %, 109.38 W
2026/09/10 14:04:19.071, 0, 7633 MiB, 15 %, 119.58 W
2026/09/10 14:04:20.071, 0, 7633 MiB, 35 %, 124.25 W
2026/09/10 14:04:21.072, 0, 7633 MiB, 30 %, 118.81 W
2026/09/10 14:04:22.072, 0, 7633 MiB, 31 %, 124.16 W
2026/09/10 14:04:23.072, 0, 7633 MiB, 34 %, 122.96 W
2026/09/10 14:04:24.073, 0, 7633 MiB, 28 %, 122.22 W
2026/09/10 14:04:25.073, 0, 7633 MiB, 35 %, 121.15 W
2026/09/10 14:04:26.073, 0, 7635 MiB, 53 %, 123.61 W
2026/09/10 14:04:27.074, 0, 7635 MiB, 52 %, 135.75 W
2026/09/10 14:04:28.074, 0, 7635 MiB, 53 %, 135.68 W
2026/09/10 14:04:29.074, 0, 7635 MiB, 47 %, 138.44 W
2026/09/10 14:04:30.074, 0, 7655 MiB, 44 %, 135.58 W
2026/09/10 14:04:31.075, 0, 7655 MiB, 52 %, 136.49 W
2026/09/10 14:04:32.075, 0, 8179 MiB, 58 %, 166.50 W
2026/09/10 14:04:33.075, 0, 8743 MiB, 71 %, 172.30 W
2026/09/10 14:04:34.075, 0, 8743 MiB, 13 %, 144.93 W
2026/09/10 14:04:35.076, 0, 8743 MiB, 40 %, 132.62 W
2026/09/10 14:04:36.076, 0, 8743 MiB, 41 %, 163.43 W
2026/09/10 14:04:37.076, 0, 8743 MiB, 40 %, 173.45 W
2026/09/10 14:04:38.077, 0, 8743 MiB, 0 %, 117.55 W
2026/09/10 14:04:39.077, 0, 8757 MiB, 50 %, 132.46 W
2026/09/10 14:04:40.077, 0, 8757 MiB, 44 %, 155.84 W
2026/09/10 14:04:41.077, 0, 8757 MiB, 43 %, 140.91 W
2026/09/10 14:04:42.078, 0, 8757 MiB, 31 %, 147.03 W
2026/09/10 14:04:43.078, 0, 8757 MiB, 43 %, 170.76 W
2026/09/10 14:04:44.078, 0, 8757 MiB, 56 %, 183.05 W
2026/09/10 14:04:45.079, 0, 8757 MiB, 41 %, 164.99 W
