timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 15:20:06.411, 0, 8823 MiB, 0 %, 84.32 W
2026/09/15 15:20:07.415, 0, 8823 MiB, 22 %, 90.41 W
2026/09/15 15:20:08.415, 0, 8823 MiB, 53 %, 199.30 W
2026/09/15 15:20:09.415, 0, 8823 MiB, 37 %, 199.68 W
2026/09/15 15:20:10.415, 0, 8823 MiB, 50 %, 206.75 W
2026/09/15 15:20:11.416, 0, 8823 MiB, 55 %, 206.09 W
2026/09/15 15:20:12.416, 0, 8823 MiB, 47 %, 199.90 W
2026/09/15 15:20:13.416, 0, 8823 MiB, 48 %, 206.39 W
2026/09/15 15:20:14.416, 0, 8823 MiB, 51 %, 203.07 W
2026/09/15 15:20:15.416, 0, 8823 MiB, 53 %, 208.76 W
2026/09/15 15:20:16.416, 0, 8823 MiB, 48 %, 210.77 W
2026/09/15 15:20:17.417, 0, 8825 MiB, 48 %, 194.04 W
2026/09/15 15:20:18.417, 0, 8825 MiB, 49 %, 187.78 W
2026/09/15 15:20:19.417, 0, 8825 MiB, 49 %, 187.77 W
2026/09/15 15:20:20.417, 0, 8825 MiB, 50 %, 188.71 W
2026/09/15 15:20:21.417, 0, 8825 MiB, 47 %, 191.02 W
2026/09/15 15:20:22.418, 0, 8825 MiB, 46 %, 181.89 W
2026/09/15 15:20:23.418, 0, 8825 MiB, 51 %, 190.19 W
2026/09/15 15:20:24.418, 0, 8825 MiB, 53 %, 201.92 W
2026/09/15 15:20:25.418, 0, 8825 MiB, 54 %, 220.70 W
2026/09/15 15:20:26.418, 0, 8825 MiB, 54 %, 216.36 W
2026/09/15 15:20:27.418, 0, 10617 MiB, 62 %, 268.44 W
2026/09/15 15:20:28.419, 0, 10617 MiB, 26 %, 223.85 W
2026/09/15 15:20:29.419, 0, 12781 MiB, 65 %, 295.36 W
2026/09/15 15:20:30.419, 0, 12781 MiB, 23 %, 246.25 W
2026/09/15 15:20:31.419, 0, 12781 MiB, 94 %, 212.87 W
2026/09/15 15:20:32.419, 0, 15169 MiB, 64 %, 316.46 W
2026/09/15 15:20:33.420, 0, 15169 MiB, 64 %, 331.55 W
2026/09/15 15:20:34.420, 0, 15169 MiB, 64 %, 314.03 W
2026/09/15 15:20:35.420, 0, 15169 MiB, 0 %, 132.73 W
2026/09/15 15:20:36.420, 0, 15169 MiB, 0 %, 89.64 W
2026/09/15 15:20:37.420, 0, 15169 MiB, 0 %, 95.67 W
2026/09/15 15:20:38.420, 0, 15169 MiB, 61 %, 266.25 W
2026/09/15 15:20:39.421, 0, 15169 MiB, 65 %, 321.98 W
2026/09/15 15:20:40.421, 0, 15169 MiB, 64 %, 318.87 W
2026/09/15 15:20:41.421, 0, 15169 MiB, 67 %, 331.81 W
2026/09/15 15:20:42.421, 0, 15169 MiB, 69 %, 344.99 W
2026/09/15 15:20:43.421, 0, 15169 MiB, 60 %, 342.41 W
2026/09/15 15:20:44.421, 0, 15169 MiB, 67 %, 308.72 W
2026/09/15 15:20:45.422, 0, 15169 MiB, 0 %, 174.97 W
2026/09/15 15:20:46.422, 0, 15169 MiB, 42 %, 194.23 W
2026/09/15 15:20:47.422, 0, 15169 MiB, 45 %, 191.78 W
2026/09/15 15:20:48.422, 0, 15169 MiB, 44 %, 193.86 W
2026/09/15 15:20:49.422, 0, 15169 MiB, 44 %, 190.69 W
2026/09/15 15:20:50.422, 0, 15169 MiB, 40 %, 196.78 W
2026/09/15 15:20:51.423, 0, 15169 MiB, 34 %, 200.27 W
2026/09/15 15:20:52.423, 0, 15169 MiB, 35 %, 144.60 W
2026/09/15 15:20:53.423, 0, 15169 MiB, 0 %, 174.48 W
2026/09/15 15:20:54.423, 0, 15169 MiB, 35 %, 187.96 W
2026/09/15 15:20:55.423, 0, 15169 MiB, 45 %, 211.82 W
2026/09/15 15:20:56.423, 0, 15169 MiB, 0 %, 167.30 W
2026/09/15 15:20:57.424, 0, 15169 MiB, 0 %, 150.98 W
2026/09/15 15:20:58.424, 0, 15169 MiB, 54 %, 240.15 W
2026/09/15 15:20:59.424, 0, 15169 MiB, 42 %, 176.10 W
2026/09/15 15:21:00.424, 0, 15169 MiB, 46 %, 190.74 W
2026/09/15 15:21:01.424, 0, 15169 MiB, 41 %, 190.63 W
2026/09/15 15:21:02.424, 0, 15169 MiB, 46 %, 193.43 W
2026/09/15 15:21:03.424, 0, 15169 MiB, 53 %, 208.13 W
2026/09/15 15:21:04.425, 0, 15169 MiB, 46 %, 168.65 W
2026/09/15 15:21:05.425, 0, 15169 MiB, 37 %, 217.86 W
2026/09/15 15:21:06.425, 0, 15169 MiB, 52 %, 217.42 W
2026/09/15 15:21:07.425, 0, 15169 MiB, 52 %, 210.43 W
2026/09/15 15:21:08.425, 0, 15169 MiB, 52 %, 216.59 W
2026/09/15 15:21:09.425, 0, 15169 MiB, 36 %, 211.99 W
2026/09/15 15:21:10.426, 0, 15169 MiB, 38 %, 209.72 W
