timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 15:27:31.185, 0, 5791 MiB, 0 %, 85.29 W
2026/09/15 15:27:32.189, 0, 5791 MiB, 51 %, 131.78 W
2026/09/15 15:27:33.189, 0, 5793 MiB, 52 %, 199.51 W
2026/09/15 15:27:34.189, 0, 5793 MiB, 0 %, 161.14 W
2026/09/15 15:27:35.190, 0, 5269 MiB, 0 %, 88.00 W
2026/09/15 15:27:36.190, 0, 5271 MiB, 0 %, 157.92 W
2026/09/15 15:27:37.190, 0, 5271 MiB, 0 %, 88.11 W
2026/09/15 15:27:38.190, 0, 5271 MiB, 0 %, 118.55 W
2026/09/15 15:27:39.190, 0, 5275 MiB, 52 %, 135.71 W
2026/09/15 15:27:40.190, 0, 5275 MiB, 48 %, 202.49 W
2026/09/15 15:27:41.190, 0, 5275 MiB, 32 %, 202.52 W
2026/09/15 15:27:42.191, 0, 5275 MiB, 0 %, 125.42 W
2026/09/15 15:27:43.191, 0, 5273 MiB, 0 %, 134.40 W
2026/09/15 15:27:44.191, 0, 5273 MiB, 52 %, 108.71 W
2026/09/15 15:27:45.191, 0, 5281 MiB, 0 %, 134.25 W
2026/09/15 15:27:46.191, 0, 5281 MiB, 53 %, 153.18 W
2026/09/15 15:27:47.191, 0, 5281 MiB, 0 %, 125.56 W
2026/09/15 15:27:48.192, 0, 5285 MiB, 53 %, 142.75 W
2026/09/15 15:27:49.192, 0, 5287 MiB, 0 %, 187.20 W
2026/09/15 15:27:50.192, 0, 5281 MiB, 0 %, 150.03 W
2026/09/15 15:27:51.192, 0, 5285 MiB, 35 %, 95.17 W
2026/09/15 15:27:52.192, 0, 5299 MiB, 47 %, 185.94 W
2026/09/15 15:27:53.192, 0, 5301 MiB, 49 %, 179.19 W
2026/09/15 15:27:54.192, 0, 5301 MiB, 0 %, 138.71 W
2026/09/15 15:27:55.193, 0, 5305 MiB, 47 %, 143.43 W
2026/09/15 15:27:56.193, 0, 5309 MiB, 23 %, 179.63 W
2026/09/15 15:27:57.193, 0, 5307 MiB, 48 %, 161.75 W
2026/09/15 15:27:58.193, 0, 5309 MiB, 27 %, 184.34 W
2026/09/15 15:27:59.193, 0, 5309 MiB, 49 %, 180.64 W
2026/09/15 15:28:00.193, 0, 5313 MiB, 49 %, 185.33 W
2026/09/15 15:28:01.193, 0, 5409 MiB, 54 %, 214.49 W
2026/09/15 15:28:02.194, 0, 5409 MiB, 53 %, 211.08 W
2026/09/15 15:28:03.194, 0, 5409 MiB, 0 %, 91.11 W
2026/09/15 15:28:04.194, 0, 5389 MiB, 33 %, 188.57 W
2026/09/15 15:28:05.194, 0, 6413 MiB, 60 %, 255.16 W
2026/09/15 15:28:06.194, 0, 7241 MiB, 49 %, 203.60 W
2026/09/15 15:28:07.194, 0, 7497 MiB, 49 %, 314.48 W
2026/09/15 15:28:08.195, 0, 7497 MiB, 0 %, 171.81 W
2026/09/15 15:28:09.195, 0, 7497 MiB, 62 %, 246.82 W
