timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:45:37.493, 0, 56975 MiB, 0 %, 87.75 W
2026/09/15 16:45:38.497, 0, 56975 MiB, 79 %, 154.36 W
2026/09/15 16:45:39.497, 0, 56975 MiB, 91 %, 314.14 W
2026/09/15 16:45:40.497, 0, 56975 MiB, 94 %, 304.25 W
2026/09/15 16:45:41.497, 0, 56975 MiB, 96 %, 315.81 W
2026/09/15 16:45:42.497, 0, 56977 MiB, 85 %, 311.00 W
2026/09/15 16:45:43.498, 0, 56979 MiB, 78 %, 306.87 W
2026/09/15 16:45:44.498, 0, 56979 MiB, 75 %, 297.81 W
2026/09/15 16:45:45.498, 0, 56979 MiB, 97 %, 304.27 W
2026/09/15 16:45:46.498, 0, 57875 MiB, 97 %, 318.79 W
2026/09/15 16:45:47.498, 0, 58807 MiB, 96 %, 305.40 W
2026/09/15 16:45:48.498, 0, 59835 MiB, 49 %, 237.03 W
2026/09/15 16:45:49.498, 0, 62223 MiB, 69 %, 377.66 W
2026/09/15 16:45:50.499, 0, 62223 MiB, 0 %, 149.35 W
2026/09/15 16:45:51.499, 0, 62223 MiB, 0 %, 100.19 W
2026/09/15 16:45:52.499, 0, 62225 MiB, 0 %, 88.20 W
2026/09/15 16:45:53.499, 0, 62225 MiB, 75 %, 216.39 W
2026/09/15 16:45:54.499, 0, 62225 MiB, 71 %, 311.43 W
2026/09/15 16:45:55.499, 0, 62225 MiB, 96 %, 363.35 W
2026/09/15 16:45:56.499, 0, 62225 MiB, 0 %, 279.64 W
2026/09/15 16:45:57.500, 0, 62225 MiB, 48 %, 201.80 W
2026/09/15 16:45:58.500, 0, 62225 MiB, 41 %, 213.84 W
2026/09/15 16:45:59.500, 0, 62225 MiB, 49 %, 217.60 W
2026/09/15 16:46:00.500, 0, 62225 MiB, 47 %, 206.92 W
2026/09/15 16:46:01.500, 0, 62225 MiB, 36 %, 212.14 W
2026/09/15 16:46:02.500, 0, 62225 MiB, 53 %, 163.67 W
2026/09/15 16:46:03.500, 0, 62225 MiB, 0 %, 182.44 W
2026/09/15 16:46:04.501, 0, 62225 MiB, 51 %, 211.12 W
2026/09/15 16:46:05.501, 0, 62225 MiB, 53 %, 235.67 W
2026/09/15 16:46:06.501, 0, 62225 MiB, 0 %, 164.81 W
2026/09/15 16:46:07.501, 0, 62225 MiB, 65 %, 205.45 W
2026/09/15 16:46:08.501, 0, 62225 MiB, 38 %, 192.08 W
2026/09/15 16:46:09.501, 0, 62225 MiB, 42 %, 210.10 W
2026/09/15 16:46:10.501, 0, 62225 MiB, 39 %, 209.41 W
2026/09/15 16:46:11.502, 0, 62225 MiB, 38 %, 212.71 W
2026/09/15 16:46:12.502, 0, 62225 MiB, 52 %, 211.60 W
2026/09/15 16:46:13.502, 0, 62225 MiB, 98 %, 216.58 W
2026/09/15 16:46:14.502, 0, 62225 MiB, 74 %, 297.05 W
2026/09/15 16:46:15.502, 0, 62225 MiB, 68 %, 286.41 W
2026/09/15 16:46:16.502, 0, 62225 MiB, 75 %, 280.81 W
2026/09/15 16:46:17.502, 0, 62225 MiB, 78 %, 284.90 W
2026/09/15 16:46:18.503, 0, 62225 MiB, 75 %, 281.06 W
2026/09/15 16:46:19.503, 0, 62225 MiB, 79 %, 290.56 W
2026/09/15 16:46:20.503, 0, 62225 MiB, 73 %, 290.56 W
