timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:48:43.006, 0, 56457 MiB, 0 %, 90.94 W
2026/09/15 16:48:44.010, 0, 56457 MiB, 61 %, 166.16 W
2026/09/15 16:48:45.010, 0, 56457 MiB, 69 %, 262.59 W
2026/09/15 16:48:46.011, 0, 56457 MiB, 74 %, 256.57 W
2026/09/15 16:48:47.011, 0, 56459 MiB, 75 %, 267.07 W
2026/09/15 16:48:48.011, 0, 56459 MiB, 93 %, 274.65 W
2026/09/15 16:48:49.011, 0, 56459 MiB, 66 %, 269.49 W
2026/09/15 16:48:50.011, 0, 56459 MiB, 89 %, 290.89 W
2026/09/15 16:48:51.011, 0, 58785 MiB, 85 %, 290.51 W
2026/09/15 16:48:52.011, 0, 58785 MiB, 72 %, 233.43 W
2026/09/15 16:48:53.011, 0, 62557 MiB, 84 %, 342.08 W
2026/09/15 16:48:54.012, 0, 62557 MiB, 0 %, 154.72 W
2026/09/15 16:48:55.012, 0, 62557 MiB, 0 %, 152.45 W
2026/09/15 16:48:56.012, 0, 62559 MiB, 76 %, 169.86 W
2026/09/15 16:48:57.012, 0, 62559 MiB, 86 %, 316.44 W
2026/09/15 16:48:58.012, 0, 62559 MiB, 74 %, 312.01 W
2026/09/15 16:48:59.012, 0, 64947 MiB, 58 %, 357.52 W
2026/09/15 16:49:00.013, 0, 64947 MiB, 34 %, 208.37 W
2026/09/15 16:49:01.013, 0, 64947 MiB, 36 %, 183.95 W
2026/09/15 16:49:02.013, 0, 64947 MiB, 38 %, 185.98 W
2026/09/15 16:49:03.013, 0, 64947 MiB, 37 %, 188.78 W
2026/09/15 16:49:04.013, 0, 64947 MiB, 40 %, 197.72 W
2026/09/15 16:49:05.013, 0, 64947 MiB, 0 %, 177.98 W
2026/09/15 16:49:06.014, 0, 64947 MiB, 0 %, 163.34 W
2026/09/15 16:49:07.014, 0, 64947 MiB, 37 %, 111.86 W
2026/09/15 16:49:08.014, 0, 64947 MiB, 44 %, 199.65 W
2026/09/15 16:49:09.014, 0, 64947 MiB, 0 %, 172.33 W
2026/09/15 16:49:10.014, 0, 64947 MiB, 0 %, 162.29 W
2026/09/15 16:49:11.014, 0, 64947 MiB, 46 %, 191.02 W
2026/09/15 16:49:12.015, 0, 64947 MiB, 44 %, 189.01 W
2026/09/15 16:49:13.015, 0, 64947 MiB, 41 %, 188.35 W
2026/09/15 16:49:14.015, 0, 64947 MiB, 41 %, 190.52 W
2026/09/15 16:49:15.015, 0, 64947 MiB, 35 %, 182.98 W
2026/09/15 16:49:16.015, 0, 64947 MiB, 32 %, 201.65 W
2026/09/15 16:49:17.015, 0, 64947 MiB, 68 %, 279.90 W
2026/09/15 16:49:18.016, 0, 64947 MiB, 58 %, 274.32 W
2026/09/15 16:49:19.016, 0, 64947 MiB, 75 %, 273.11 W
2026/09/15 16:49:20.016, 0, 64947 MiB, 77 %, 274.97 W
2026/09/15 16:49:21.016, 0, 64947 MiB, 78 %, 279.36 W
2026/09/15 16:49:22.016, 0, 64947 MiB, 97 %, 288.73 W
