timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:49:47.963, 0, 58433 MiB, 25 %, 155.52 W
2026/09/15 16:49:48.967, 0, 58433 MiB, 71 %, 221.48 W
2026/09/15 16:49:49.968, 0, 58433 MiB, 79 %, 319.96 W
2026/09/15 16:49:50.968, 0, 58435 MiB, 74 %, 312.39 W
2026/09/15 16:49:51.968, 0, 58435 MiB, 72 %, 322.32 W
2026/09/15 16:49:52.968, 0, 58437 MiB, 73 %, 317.18 W
2026/09/15 16:49:53.968, 0, 58437 MiB, 84 %, 303.64 W
2026/09/15 16:49:54.968, 0, 58437 MiB, 72 %, 307.31 W
2026/09/15 16:49:55.968, 0, 58437 MiB, 73 %, 311.99 W
2026/09/15 16:49:56.969, 0, 58437 MiB, 90 %, 315.52 W
2026/09/15 16:49:57.969, 0, 58485 MiB, 90 %, 299.30 W
2026/09/15 16:49:58.969, 0, 58485 MiB, 87 %, 195.20 W
2026/09/15 16:49:59.969, 0, 59893 MiB, 96 %, 358.98 W
2026/09/15 16:50:00.969, 0, 59893 MiB, 0 %, 101.91 W
2026/09/15 16:50:01.969, 0, 59893 MiB, 0 %, 96.49 W
2026/09/15 16:50:02.969, 0, 59893 MiB, 0 %, 91.64 W
2026/09/15 16:50:03.969, 0, 59893 MiB, 97 %, 323.07 W
2026/09/15 16:50:04.970, 0, 59893 MiB, 98 %, 317.82 W
2026/09/15 16:50:05.970, 0, 60405 MiB, 92 %, 367.09 W
2026/09/15 16:50:06.970, 0, 60405 MiB, 0 %, 211.88 W
2026/09/15 16:50:07.970, 0, 60405 MiB, 55 %, 228.01 W
2026/09/15 16:50:08.970, 0, 60405 MiB, 55 %, 232.50 W
2026/09/15 16:50:09.970, 0, 60405 MiB, 53 %, 230.33 W
2026/09/15 16:50:10.970, 0, 60405 MiB, 7 %, 231.56 W
2026/09/15 16:50:11.971, 0, 60405 MiB, 56 %, 164.23 W
2026/09/15 16:50:12.971, 0, 60405 MiB, 0 %, 186.93 W
2026/09/15 16:50:13.971, 0, 60405 MiB, 50 %, 200.59 W
2026/09/15 16:50:14.971, 0, 60405 MiB, 46 %, 243.14 W
2026/09/15 16:50:15.971, 0, 60405 MiB, 0 %, 168.15 W
2026/09/15 16:50:16.971, 0, 60405 MiB, 55 %, 193.90 W
2026/09/15 16:50:17.971, 0, 60405 MiB, 40 %, 205.27 W
2026/09/15 16:50:18.971, 0, 60405 MiB, 49 %, 223.73 W
2026/09/15 16:50:19.972, 0, 60405 MiB, 52 %, 221.40 W
2026/09/15 16:50:20.972, 0, 60405 MiB, 45 %, 224.54 W
2026/09/15 16:50:21.972, 0, 60405 MiB, 40 %, 225.97 W
2026/09/15 16:50:22.972, 0, 60405 MiB, 98 %, 217.24 W
2026/09/15 16:50:23.972, 0, 60405 MiB, 86 %, 287.22 W
2026/09/15 16:50:24.972, 0, 60405 MiB, 64 %, 287.95 W
2026/09/15 16:50:25.972, 0, 60405 MiB, 74 %, 280.14 W
2026/09/15 16:50:26.973, 0, 60405 MiB, 96 %, 278.40 W
2026/09/15 16:50:27.973, 0, 60405 MiB, 66 %, 270.80 W
2026/09/15 16:50:28.973, 0, 60405 MiB, 93 %, 284.88 W
2026/09/15 16:50:29.973, 0, 60405 MiB, 81 %, 268.86 W
