timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:51:49.803, 0, 58403 MiB, 34 %, 129.65 W
2026/09/15 16:51:50.807, 0, 58403 MiB, 98 %, 214.57 W
2026/09/15 16:51:51.807, 0, 58403 MiB, 72 %, 317.17 W
2026/09/15 16:51:52.807, 0, 58405 MiB, 73 %, 306.16 W
2026/09/15 16:51:53.808, 0, 58405 MiB, 86 %, 316.25 W
2026/09/15 16:51:54.808, 0, 58407 MiB, 75 %, 319.45 W
2026/09/15 16:51:55.808, 0, 58407 MiB, 73 %, 301.46 W
2026/09/15 16:51:56.808, 0, 58407 MiB, 79 %, 307.63 W
2026/09/15 16:51:57.808, 0, 58407 MiB, 73 %, 294.64 W
2026/09/15 16:51:58.808, 0, 58407 MiB, 97 %, 303.64 W
2026/09/15 16:51:59.808, 0, 58455 MiB, 94 %, 292.38 W
2026/09/15 16:52:00.808, 0, 58455 MiB, 0 %, 187.99 W
2026/09/15 16:52:01.809, 0, 59863 MiB, 58 %, 367.19 W
2026/09/15 16:52:02.809, 0, 59863 MiB, 0 %, 135.95 W
2026/09/15 16:52:03.809, 0, 59863 MiB, 0 %, 97.58 W
2026/09/15 16:52:04.809, 0, 59863 MiB, 0 %, 89.34 W
2026/09/15 16:52:05.809, 0, 59863 MiB, 81 %, 200.42 W
2026/09/15 16:52:06.809, 0, 59863 MiB, 71 %, 310.39 W
2026/09/15 16:52:07.809, 0, 60375 MiB, 94 %, 346.44 W
2026/09/15 16:52:08.810, 0, 60375 MiB, 10 %, 278.86 W
2026/09/15 16:52:09.810, 0, 60375 MiB, 61 %, 206.60 W
2026/09/15 16:52:10.810, 0, 60375 MiB, 55 %, 233.00 W
2026/09/15 16:52:11.810, 0, 60375 MiB, 56 %, 234.37 W
2026/09/15 16:52:12.810, 0, 60375 MiB, 31 %, 228.41 W
2026/09/15 16:52:13.811, 0, 60375 MiB, 11 %, 172.72 W
2026/09/15 16:52:14.811, 0, 60375 MiB, 0 %, 170.06 W
2026/09/15 16:52:15.811, 0, 60375 MiB, 49 %, 141.76 W
2026/09/15 16:52:16.811, 0, 60375 MiB, 49 %, 230.05 W
2026/09/15 16:52:17.811, 0, 60375 MiB, 0 %, 133.54 W
2026/09/15 16:52:18.811, 0, 60375 MiB, 0 %, 114.53 W
2026/09/15 16:52:19.812, 0, 60375 MiB, 43 %, 209.72 W
2026/09/15 16:52:20.812, 0, 60375 MiB, 39 %, 215.32 W
2026/09/15 16:52:21.812, 0, 60375 MiB, 48 %, 214.54 W
2026/09/15 16:52:22.812, 0, 60375 MiB, 48 %, 218.95 W
2026/09/15 16:52:23.812, 0, 60375 MiB, 27 %, 213.42 W
2026/09/15 16:52:24.812, 0, 60375 MiB, 14 %, 197.15 W
2026/09/15 16:52:25.812, 0, 60375 MiB, 74 %, 287.89 W
2026/09/15 16:52:26.813, 0, 60375 MiB, 70 %, 279.49 W
2026/09/15 16:52:27.813, 0, 60375 MiB, 69 %, 266.11 W
2026/09/15 16:52:28.813, 0, 60375 MiB, 76 %, 270.50 W
2026/09/15 16:52:29.813, 0, 60375 MiB, 70 %, 277.77 W
2026/09/15 16:52:30.813, 0, 60375 MiB, 87 %, 279.61 W
2026/09/15 16:52:31.813, 0, 60375 MiB, 77 %, 275.99 W
2026/09/15 16:52:32.813, 0, 60375 MiB, 87 %, 283.04 W
