timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:50:51.418, 0, 57915 MiB, 0 %, 129.83 W
2026/09/15 16:50:52.422, 0, 57915 MiB, 65 %, 196.85 W
2026/09/15 16:50:53.423, 0, 57915 MiB, 72 %, 276.64 W
2026/09/15 16:50:54.423, 0, 57915 MiB, 70 %, 275.57 W
2026/09/15 16:50:55.423, 0, 57917 MiB, 65 %, 280.77 W
2026/09/15 16:50:56.423, 0, 57917 MiB, 65 %, 282.75 W
2026/09/15 16:50:57.423, 0, 57917 MiB, 62 %, 280.22 W
2026/09/15 16:50:58.423, 0, 57919 MiB, 52 %, 288.33 W
2026/09/15 16:50:59.424, 0, 57967 MiB, 74 %, 266.66 W
2026/09/15 16:51:00.424, 0, 58625 MiB, 74 %, 218.80 W
2026/09/15 16:51:01.424, 0, 59369 MiB, 0 %, 253.02 W
2026/09/15 16:51:02.424, 0, 59369 MiB, 0 %, 159.82 W
2026/09/15 16:51:03.424, 0, 59369 MiB, 0 %, 153.51 W
2026/09/15 16:51:04.424, 0, 59369 MiB, 70 %, 214.36 W
2026/09/15 16:51:05.425, 0, 59369 MiB, 94 %, 286.44 W
2026/09/15 16:51:06.425, 0, 59881 MiB, 89 %, 317.01 W
2026/09/15 16:51:07.425, 0, 59881 MiB, 0 %, 245.68 W
2026/09/15 16:51:08.425, 0, 59881 MiB, 50 %, 194.73 W
2026/09/15 16:51:09.425, 0, 59881 MiB, 53 %, 207.41 W
2026/09/15 16:51:10.425, 0, 59881 MiB, 48 %, 207.31 W
2026/09/15 16:51:11.425, 0, 59881 MiB, 5 %, 198.68 W
2026/09/15 16:51:12.426, 0, 59881 MiB, 37 %, 177.33 W
2026/09/15 16:51:13.426, 0, 59881 MiB, 0 %, 172.05 W
2026/09/15 16:51:14.426, 0, 59881 MiB, 41 %, 182.89 W
2026/09/15 16:51:15.426, 0, 59881 MiB, 44 %, 205.29 W
2026/09/15 16:51:16.426, 0, 59881 MiB, 0 %, 105.91 W
2026/09/15 16:51:17.426, 0, 59881 MiB, 40 %, 158.93 W
2026/09/15 16:51:18.427, 0, 59881 MiB, 44 %, 189.30 W
2026/09/15 16:51:19.427, 0, 59881 MiB, 43 %, 192.55 W
2026/09/15 16:51:20.427, 0, 59881 MiB, 29 %, 189.30 W
2026/09/15 16:51:21.427, 0, 59881 MiB, 39 %, 188.38 W
2026/09/15 16:51:22.427, 0, 59881 MiB, 39 %, 195.94 W
2026/09/15 16:51:23.427, 0, 59881 MiB, 70 %, 211.61 W
2026/09/15 16:51:24.427, 0, 59881 MiB, 72 %, 283.68 W
2026/09/15 16:51:25.428, 0, 59881 MiB, 71 %, 271.75 W
2026/09/15 16:51:26.428, 0, 59881 MiB, 77 %, 280.17 W
2026/09/15 16:51:27.428, 0, 59881 MiB, 95 %, 259.43 W
2026/09/15 16:51:28.428, 0, 59881 MiB, 74 %, 257.10 W
