timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 16:52:58.711, 0, 57667 MiB, 0 %, 88.23 W
2026/09/15 16:52:59.715, 0, 57667 MiB, 60 %, 175.10 W
2026/09/15 16:53:00.715, 0, 57667 MiB, 64 %, 272.86 W
2026/09/15 16:53:01.715, 0, 57667 MiB, 68 %, 259.96 W
2026/09/15 16:53:02.715, 0, 57669 MiB, 69 %, 276.77 W
2026/09/15 16:53:03.715, 0, 57669 MiB, 73 %, 277.75 W
2026/09/15 16:53:04.716, 0, 57669 MiB, 77 %, 279.83 W
2026/09/15 16:53:05.716, 0, 57669 MiB, 64 %, 288.60 W
2026/09/15 16:53:06.716, 0, 57717 MiB, 66 %, 298.39 W
2026/09/15 16:53:07.716, 0, 58375 MiB, 77 %, 231.62 W
2026/09/15 16:53:08.716, 0, 59119 MiB, 0 %, 253.53 W
2026/09/15 16:53:09.716, 0, 59119 MiB, 0 %, 157.38 W
2026/09/15 16:53:10.717, 0, 59119 MiB, 0 %, 154.30 W
2026/09/15 16:53:11.717, 0, 59121 MiB, 74 %, 209.75 W
2026/09/15 16:53:12.717, 0, 59121 MiB, 77 %, 287.06 W
2026/09/15 16:53:13.717, 0, 59633 MiB, 86 %, 300.02 W
2026/09/15 16:53:14.717, 0, 59633 MiB, 0 %, 269.75 W
2026/09/15 16:53:15.717, 0, 59633 MiB, 41 %, 178.42 W
2026/09/15 16:53:16.717, 0, 59633 MiB, 52 %, 205.12 W
2026/09/15 16:53:17.718, 0, 59633 MiB, 42 %, 202.51 W
2026/09/15 16:53:18.718, 0, 59633 MiB, 29 %, 200.90 W
2026/09/15 16:53:19.718, 0, 59633 MiB, 40 %, 179.82 W
2026/09/15 16:53:20.718, 0, 59633 MiB, 0 %, 121.97 W
2026/09/15 16:53:21.718, 0, 59633 MiB, 40 %, 161.70 W
2026/09/15 16:53:22.718, 0, 59633 MiB, 41 %, 204.48 W
2026/09/15 16:53:23.718, 0, 59633 MiB, 0 %, 157.83 W
2026/09/15 16:53:24.719, 0, 59633 MiB, 29 %, 156.84 W
2026/09/15 16:53:25.719, 0, 59633 MiB, 33 %, 190.35 W
2026/09/15 16:53:26.719, 0, 59633 MiB, 28 %, 189.07 W
2026/09/15 16:53:27.719, 0, 59633 MiB, 32 %, 190.95 W
2026/09/15 16:53:28.719, 0, 59633 MiB, 27 %, 187.78 W
2026/09/15 16:53:29.719, 0, 59633 MiB, 35 %, 197.18 W
2026/09/15 16:53:30.720, 0, 59633 MiB, 67 %, 237.37 W
2026/09/15 16:53:31.720, 0, 59633 MiB, 67 %, 277.90 W
2026/09/15 16:53:32.720, 0, 59633 MiB, 73 %, 261.61 W
2026/09/15 16:53:33.720, 0, 59633 MiB, 67 %, 267.58 W
2026/09/15 16:53:34.720, 0, 59633 MiB, 79 %, 270.65 W
2026/09/15 16:53:35.720, 0, 59633 MiB, 67 %, 273.29 W
2026/09/15 16:53:36.720, 0, 59633 MiB, 83 %, 274.40 W
