timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 19:07:02.515, 0, 57765 MiB, 0 %, 94.49 W
2026/09/15 19:07:03.519, 0, 57765 MiB, 68 %, 143.61 W
2026/09/15 19:07:04.519, 0, 57765 MiB, 69 %, 248.23 W
2026/09/15 19:07:05.519, 0, 57765 MiB, 70 %, 228.22 W
2026/09/15 19:07:06.519, 0, 57767 MiB, 63 %, 225.67 W
2026/09/15 19:07:07.519, 0, 57767 MiB, 73 %, 236.60 W
2026/09/15 19:07:08.519, 0, 57767 MiB, 59 %, 229.07 W
2026/09/15 19:07:09.520, 0, 57769 MiB, 63 %, 230.57 W
2026/09/15 19:07:10.520, 0, 57817 MiB, 84 %, 248.30 W
2026/09/15 19:07:11.520, 0, 58509 MiB, 73 %, 184.91 W
2026/09/15 19:07:12.520, 0, 59271 MiB, 0 %, 217.17 W
2026/09/15 19:07:13.520, 0, 59271 MiB, 0 %, 96.66 W
2026/09/15 19:07:14.520, 0, 59271 MiB, 0 %, 89.81 W
2026/09/15 19:07:15.520, 0, 59271 MiB, 66 %, 158.05 W
2026/09/15 19:07:16.520, 0, 59271 MiB, 77 %, 250.90 W
2026/09/15 19:07:17.520, 0, 59783 MiB, 92 %, 289.85 W
2026/09/15 19:07:18.521, 0, 59783 MiB, 0 %, 208.76 W
2026/09/15 19:07:19.521, 0, 59783 MiB, 46 %, 146.60 W
2026/09/15 19:07:20.521, 0, 59783 MiB, 46 %, 144.72 W
2026/09/15 19:07:21.521, 0, 59783 MiB, 44 %, 148.62 W
2026/09/15 19:07:22.521, 0, 59783 MiB, 0 %, 122.60 W
2026/09/15 19:07:23.521, 0, 59783 MiB, 0 %, 137.97 W
2026/09/15 19:07:24.521, 0, 59783 MiB, 33 %, 97.91 W
2026/09/15 19:07:25.521, 0, 59783 MiB, 32 %, 156.81 W
2026/09/15 19:07:26.521, 0, 59783 MiB, 0 %, 123.28 W
2026/09/15 19:07:27.522, 0, 59783 MiB, 0 %, 94.88 W
2026/09/15 19:07:28.522, 0, 59783 MiB, 34 %, 148.16 W
2026/09/15 19:07:29.522, 0, 59783 MiB, 34 %, 137.92 W
2026/09/15 19:07:30.522, 0, 59783 MiB, 32 %, 153.48 W
2026/09/15 19:07:31.522, 0, 59783 MiB, 40 %, 153.26 W
2026/09/15 19:07:32.523, 0, 59783 MiB, 42 %, 154.33 W
2026/09/15 19:07:33.523, 0, 59783 MiB, 61 %, 149.12 W
2026/09/15 19:07:34.523, 0, 59783 MiB, 81 %, 216.12 W
2026/09/15 19:07:35.523, 0, 59783 MiB, 64 %, 213.91 W
2026/09/15 19:07:36.523, 0, 59783 MiB, 70 %, 207.15 W
2026/09/15 19:07:37.523, 0, 59783 MiB, 70 %, 209.59 W
2026/09/15 19:07:38.523, 0, 59783 MiB, 70 %, 207.76 W
2026/09/15 19:07:39.523, 0, 59783 MiB, 92 %, 221.23 W
