timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 15:40:33.049, 0, 4983 MiB, 0 %, 96.05 W
2026/09/10 15:40:34.053, 0, 4983 MiB, 65 %, 114.72 W
2026/09/10 15:40:35.053, 0, 4863 MiB, 0 %, 108.39 W
2026/09/10 15:40:36.053, 0, 4869 MiB, 0 %, 121.78 W
2026/09/10 15:40:37.054, 0, 4869 MiB, 23 %, 129.63 W
2026/09/10 15:40:38.054, 0, 4887 MiB, 69 %, 130.97 W
2026/09/10 15:40:39.054, 0, 4891 MiB, 58 %, 125.04 W
2026/09/10 15:40:40.055, 0, 4891 MiB, 49 %, 145.64 W
2026/09/10 15:40:41.055, 0, 4893 MiB, 29 %, 133.77 W
2026/09/10 15:40:42.055, 0, 4915 MiB, 41 %, 133.79 W
2026/09/10 15:40:43.055, 0, 4917 MiB, 58 %, 136.03 W
2026/09/10 15:40:44.056, 0, 4917 MiB, 62 %, 140.27 W
2026/09/10 15:40:45.056, 0, 4887 MiB, 61 %, 129.62 W
2026/09/10 15:40:46.056, 0, 4927 MiB, 59 %, 131.30 W
2026/09/10 15:40:47.056, 0, 5137 MiB, 34 %, 137.12 W
2026/09/10 15:40:48.057, 0, 5155 MiB, 52 %, 166.41 W
2026/09/10 15:40:49.057, 0, 5155 MiB, 61 %, 154.07 W
2026/09/10 15:40:50.057, 0, 6941 MiB, 88 %, 271.00 W
2026/09/10 15:40:51.057, 0, 7457 MiB, 98 %, 197.10 W
2026/09/10 15:40:52.058, 0, 7457 MiB, 87 %, 299.26 W
2026/09/10 15:40:53.058, 0, 7457 MiB, 26 %, 173.17 W
2026/09/10 15:40:54.058, 0, 7255 MiB, 97 %, 192.71 W
2026/09/10 15:40:55.058, 0, 7257 MiB, 89 %, 309.42 W
2026/09/10 15:40:56.059, 0, 8043 MiB, 76 %, 312.30 W
2026/09/10 15:40:57.059, 0, 8043 MiB, 78 %, 305.17 W
2026/09/10 15:40:58.059, 0, 8043 MiB, 0 %, 210.90 W
2026/09/10 15:40:59.059, 0, 8049 MiB, 68 %, 150.11 W
2026/09/10 15:41:00.060, 0, 8049 MiB, 91 %, 279.06 W
2026/09/10 15:41:01.060, 0, 8049 MiB, 93 %, 306.98 W
2026/09/10 15:41:02.060, 0, 8049 MiB, 84 %, 290.75 W
2026/09/10 15:41:03.060, 0, 8049 MiB, 66 %, 259.95 W
2026/09/10 15:41:04.061, 0, 8049 MiB, 89 %, 306.47 W
2026/09/10 15:41:05.061, 0, 8049 MiB, 89 %, 312.35 W
2026/09/10 15:41:06.061, 0, 8049 MiB, 87 %, 313.68 W
2026/09/10 15:41:07.061, 0, 8049 MiB, 69 %, 244.96 W
2026/09/10 15:41:08.062, 0, 5555 MiB, 51 %, 118.14 W
2026/09/10 15:41:09.062, 0, 5555 MiB, 49 %, 144.94 W
2026/09/10 15:41:10.062, 0, 5555 MiB, 50 %, 145.21 W
2026/09/10 15:41:11.062, 0, 5555 MiB, 34 %, 132.55 W
2026/09/10 15:41:12.063, 0, 5555 MiB, 34 %, 126.32 W
2026/09/10 15:41:13.063, 0, 5567 MiB, 36 %, 121.65 W
2026/09/10 15:41:14.063, 0, 5567 MiB, 35 %, 130.52 W
2026/09/10 15:41:15.064, 0, 5567 MiB, 31 %, 129.88 W
2026/09/10 15:41:16.064, 0, 5567 MiB, 0 %, 123.33 W
2026/09/10 15:41:17.064, 0, 5693 MiB, 34 %, 140.73 W
2026/09/10 15:41:18.065, 0, 5851 MiB, 0 %, 149.56 W
2026/09/10 15:41:19.065, 0, 6127 MiB, 0 %, 162.62 W
2026/09/10 15:41:20.065, 0, 5901 MiB, 40 %, 135.29 W
2026/09/10 15:41:21.066, 0, 5955 MiB, 0 %, 149.05 W
2026/09/10 15:41:22.066, 0, 5777 MiB, 0 %, 115.22 W
2026/09/10 15:41:23.066, 0, 5809 MiB, 0 %, 126.01 W
2026/09/10 15:41:24.067, 0, 5947 MiB, 23 %, 143.79 W
2026/09/10 15:41:25.067, 0, 5939 MiB, 45 %, 122.36 W
2026/09/10 15:41:26.067, 0, 6003 MiB, 10 %, 135.03 W
2026/09/10 15:41:27.068, 0, 6003 MiB, 0 %, 169.83 W
2026/09/10 15:41:28.068, 0, 6003 MiB, 26 %, 114.25 W
2026/09/10 15:41:29.068, 0, 5995 MiB, 45 %, 145.54 W
2026/09/10 15:41:30.068, 0, 5457 MiB, 0 %, 127.07 W
2026/09/10 15:41:31.069, 0, 5877 MiB, 37 %, 137.27 W
2026/09/10 15:41:32.069, 0, 6273 MiB, 17 %, 140.44 W
2026/09/10 15:41:33.070, 0, 6273 MiB, 47 %, 206.63 W
2026/09/10 15:41:34.070, 0, 6281 MiB, 65 %, 218.95 W
2026/09/10 15:41:35.070, 0, 6281 MiB, 43 %, 113.07 W
2026/09/10 15:41:36.071, 0, 5621 MiB, 59 %, 134.82 W
2026/09/10 15:41:37.071, 0, 5623 MiB, 5 %, 132.56 W
2026/09/10 15:41:38.071, 0, 5625 MiB, 60 %, 138.45 W
2026/09/10 15:41:39.071, 0, 5637 MiB, 59 %, 152.80 W
2026/09/10 15:41:40.072, 0, 5637 MiB, 62 %, 152.26 W
2026/09/10 15:41:41.072, 0, 5637 MiB, 70 %, 154.07 W
2026/09/10 15:41:42.072, 0, 5637 MiB, 59 %, 151.23 W
2026/09/10 15:41:43.072, 0, 5637 MiB, 70 %, 153.90 W
2026/09/10 15:41:44.073, 0, 5625 MiB, 58 %, 139.57 W
2026/09/10 15:41:45.073, 0, 5627 MiB, 0 %, 134.56 W
