timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 14:15:03.046, 0, 8265 MiB, 0 %, 98.18 W
2026/09/10 14:15:04.050, 0, 8265 MiB, 24 %, 108.56 W
2026/09/10 14:15:05.050, 0, 8265 MiB, 17 %, 120.75 W
2026/09/10 14:15:06.050, 0, 8265 MiB, 36 %, 126.42 W
2026/09/10 14:15:07.051, 0, 8265 MiB, 33 %, 119.21 W
2026/09/10 14:15:08.051, 0, 8267 MiB, 28 %, 126.11 W
2026/09/10 14:15:09.051, 0, 8267 MiB, 44 %, 141.86 W
2026/09/10 14:15:10.052, 0, 8267 MiB, 34 %, 139.27 W
2026/09/10 14:15:11.052, 0, 8267 MiB, 55 %, 140.92 W
2026/09/10 14:15:12.052, 0, 8267 MiB, 54 %, 139.09 W
2026/09/10 14:15:13.052, 0, 8267 MiB, 28 %, 117.93 W
2026/09/10 14:15:14.053, 0, 8267 MiB, 25 %, 120.10 W
2026/09/10 14:15:15.053, 0, 8267 MiB, 8 %, 116.04 W
2026/09/10 14:15:16.054, 0, 8277 MiB, 29 %, 121.10 W
2026/09/10 14:15:17.054, 0, 8277 MiB, 28 %, 120.27 W
2026/09/10 14:15:18.054, 0, 8277 MiB, 30 %, 121.60 W
2026/09/10 14:15:19.055, 0, 8277 MiB, 16 %, 136.09 W
2026/09/10 14:15:20.055, 0, 8277 MiB, 7 %, 135.07 W
2026/09/10 14:15:21.055, 0, 8277 MiB, 40 %, 141.39 W
2026/09/10 14:15:22.056, 0, 8277 MiB, 41 %, 159.46 W
2026/09/10 14:15:23.056, 0, 8277 MiB, 20 %, 109.36 W
2026/09/10 14:15:24.056, 0, 8277 MiB, 42 %, 157.77 W
2026/09/10 14:15:25.057, 0, 8277 MiB, 42 %, 168.76 W
2026/09/10 14:15:26.057, 0, 8277 MiB, 37 %, 175.30 W
2026/09/10 14:15:27.057, 0, 8277 MiB, 0 %, 123.15 W
2026/09/10 14:15:28.057, 0, 8277 MiB, 29 %, 117.26 W
2026/09/10 14:15:29.058, 0, 8277 MiB, 39 %, 158.10 W
2026/09/10 14:15:30.058, 0, 8277 MiB, 55 %, 186.53 W
2026/09/10 14:15:31.058, 0, 8279 MiB, 65 %, 196.79 W
2026/09/10 14:15:32.059, 0, 8279 MiB, 72 %, 209.42 W
2026/09/10 14:15:33.059, 0, 8279 MiB, 0 %, 157.88 W
2026/09/10 14:15:34.059, 0, 8279 MiB, 45 %, 126.53 W
2026/09/10 14:15:35.059, 0, 8279 MiB, 44 %, 131.20 W
2026/09/10 14:15:36.060, 0, 8279 MiB, 44 %, 131.31 W
2026/09/10 14:15:37.060, 0, 8279 MiB, 44 %, 134.12 W
2026/09/10 14:15:38.060, 0, 8279 MiB, 46 %, 131.22 W
2026/09/10 14:15:39.060, 0, 8279 MiB, 44 %, 131.22 W
2026/09/10 14:15:40.061, 0, 8279 MiB, 49 %, 132.60 W
2026/09/10 14:15:41.061, 0, 8293 MiB, 49 %, 131.65 W
2026/09/10 14:15:42.061, 0, 8295 MiB, 15 %, 121.80 W
2026/09/10 14:15:43.061, 0, 8295 MiB, 0 %, 126.42 W
2026/09/10 14:15:44.062, 0, 8295 MiB, 22 %, 106.67 W
2026/09/10 14:15:45.062, 0, 8295 MiB, 25 %, 120.26 W
2026/09/10 14:15:46.062, 0, 8295 MiB, 27 %, 122.33 W
2026/09/10 14:15:47.062, 0, 8295 MiB, 43 %, 134.29 W
2026/09/10 14:15:48.063, 0, 8295 MiB, 27 %, 142.79 W
2026/09/10 14:15:49.063, 0, 8295 MiB, 0 %, 105.74 W
2026/09/10 14:15:50.063, 0, 8295 MiB, 46 %, 133.35 W
2026/09/10 14:15:51.064, 0, 8295 MiB, 46 %, 137.22 W
2026/09/10 14:15:52.064, 0, 8295 MiB, 45 %, 136.95 W
2026/09/10 14:15:53.064, 0, 8295 MiB, 48 %, 137.72 W
2026/09/10 14:15:54.065, 0, 8295 MiB, 37 %, 125.10 W
2026/09/10 14:15:55.065, 0, 8295 MiB, 22 %, 137.68 W
2026/09/10 14:15:56.065, 0, 8295 MiB, 28 %, 109.30 W
2026/09/10 14:15:57.066, 0, 8295 MiB, 34 %, 126.12 W
2026/09/10 14:15:58.066, 0, 8295 MiB, 30 %, 126.43 W
2026/09/10 14:15:59.066, 0, 8295 MiB, 36 %, 126.39 W
2026/09/10 14:16:00.067, 0, 8295 MiB, 35 %, 126.25 W
2026/09/10 14:16:01.067, 0, 8295 MiB, 35 %, 125.67 W
2026/09/10 14:16:02.067, 0, 8295 MiB, 29 %, 125.60 W
2026/09/10 14:16:03.068, 0, 8295 MiB, 35 %, 128.01 W
2026/09/10 14:16:04.068, 0, 8295 MiB, 35 %, 126.93 W
2026/09/10 14:16:05.068, 0, 8295 MiB, 35 %, 124.74 W
2026/09/10 14:16:06.069, 0, 8295 MiB, 35 %, 127.16 W
2026/09/10 14:16:07.069, 0, 8295 MiB, 62 %, 138.94 W
2026/09/10 14:16:08.069, 0, 8295 MiB, 53 %, 145.79 W
