timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 14:19:12.494, 0, 7917 MiB, 0 %, 98.23 W
2026/09/10 14:19:13.498, 0, 7917 MiB, 32 %, 107.95 W
2026/09/10 14:19:14.498, 0, 7917 MiB, 29 %, 125.10 W
2026/09/10 14:19:15.498, 0, 7917 MiB, 37 %, 125.68 W
2026/09/10 14:19:16.499, 0, 7917 MiB, 32 %, 123.95 W
2026/09/10 14:19:17.499, 0, 7917 MiB, 38 %, 126.03 W
2026/09/10 14:19:18.499, 0, 7917 MiB, 31 %, 125.00 W
2026/09/10 14:19:19.500, 0, 7917 MiB, 38 %, 129.75 W
2026/09/10 14:19:20.500, 0, 7917 MiB, 30 %, 127.52 W
2026/09/10 14:19:21.500, 0, 7917 MiB, 32 %, 126.76 W
2026/09/10 14:19:22.501, 0, 7917 MiB, 33 %, 129.02 W
2026/09/10 14:19:23.501, 0, 7917 MiB, 34 %, 128.59 W
2026/09/10 14:19:24.501, 0, 7917 MiB, 34 %, 128.74 W
2026/09/10 14:19:25.502, 0, 7917 MiB, 32 %, 129.47 W
2026/09/10 14:19:26.502, 0, 7919 MiB, 14 %, 126.83 W
2026/09/10 14:19:27.502, 0, 7919 MiB, 35 %, 129.31 W
2026/09/10 14:19:28.503, 0, 7919 MiB, 30 %, 128.97 W
2026/09/10 14:19:29.503, 0, 7919 MiB, 9 %, 123.30 W
2026/09/10 14:19:30.503, 0, 7919 MiB, 19 %, 157.47 W
2026/09/10 14:19:31.504, 0, 7919 MiB, 30 %, 132.36 W
2026/09/10 14:19:32.504, 0, 7919 MiB, 38 %, 139.04 W
2026/09/10 14:19:33.504, 0, 8909 MiB, 72 %, 240.13 W
2026/09/10 14:19:34.505, 0, 8909 MiB, 36 %, 177.57 W
2026/09/10 14:19:35.505, 0, 10037 MiB, 78 %, 259.14 W
2026/09/10 14:19:36.505, 0, 10037 MiB, 73 %, 279.22 W
2026/09/10 14:19:37.506, 0, 10037 MiB, 15 %, 134.62 W
2026/09/10 14:19:38.506, 0, 10037 MiB, 83 %, 180.97 W
2026/09/10 14:19:39.506, 0, 10037 MiB, 81 %, 280.52 W
2026/09/10 14:19:40.507, 0, 10037 MiB, 74 %, 288.27 W
2026/09/10 14:19:41.507, 0, 10037 MiB, 75 %, 294.43 W
2026/09/10 14:19:42.507, 0, 10037 MiB, 76 %, 284.68 W
2026/09/10 14:19:43.508, 0, 10037 MiB, 0 %, 146.13 W
2026/09/10 14:19:44.508, 0, 10037 MiB, 49 %, 165.68 W
2026/09/10 14:19:45.508, 0, 10037 MiB, 68 %, 228.65 W
2026/09/10 14:19:46.508, 0, 10037 MiB, 76 %, 285.60 W
2026/09/10 14:19:47.509, 0, 10037 MiB, 80 %, 271.65 W
2026/09/10 14:19:48.509, 0, 10037 MiB, 77 %, 296.11 W
2026/09/10 14:19:49.509, 0, 10037 MiB, 78 %, 295.10 W
2026/09/10 14:19:50.510, 0, 10037 MiB, 75 %, 296.34 W
2026/09/10 14:19:51.510, 0, 10037 MiB, 79 %, 294.13 W
2026/09/10 14:19:52.510, 0, 10037 MiB, 76 %, 298.14 W
