timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 09:51:38.369, 0, 65985 MiB, 0 %, 96.61 W
2026/09/11 09:51:39.373, 0, 65985 MiB, 34 %, 116.87 W
2026/09/11 09:51:40.374, 0, 65987 MiB, 18 %, 141.17 W
2026/09/11 09:51:41.374, 0, 65987 MiB, 43 %, 134.08 W
2026/09/11 09:51:42.374, 0, 65987 MiB, 36 %, 143.06 W
2026/09/11 09:51:43.374, 0, 65987 MiB, 43 %, 136.03 W
2026/09/11 09:51:44.375, 0, 65987 MiB, 67 %, 163.83 W
2026/09/11 09:51:45.375, 0, 65987 MiB, 50 %, 166.53 W
2026/09/11 09:51:46.375, 0, 65993 MiB, 38 %, 145.30 W
2026/09/11 09:51:47.376, 0, 66175 MiB, 79 %, 148.73 W
2026/09/11 09:51:48.376, 0, 67039 MiB, 21 %, 137.00 W
2026/09/11 09:51:49.376, 0, 67041 MiB, 0 %, 143.42 W
2026/09/11 09:51:50.377, 0, 67041 MiB, 7 %, 97.77 W
2026/09/11 09:51:51.377, 0, 68901 MiB, 31 %, 181.74 W
2026/09/11 09:51:52.377, 0, 68901 MiB, 0 %, 116.57 W
2026/09/11 09:51:53.378, 0, 68901 MiB, 0 %, 97.63 W
2026/09/11 09:51:54.378, 0, 68901 MiB, 0 %, 97.54 W
2026/09/11 09:51:55.378, 0, 68901 MiB, 0 %, 97.48 W
2026/09/11 09:51:56.378, 0, 68901 MiB, 0 %, 97.44 W
2026/09/11 09:51:57.379, 0, 70039 MiB, 32 %, 142.68 W
2026/09/11 09:51:58.379, 0, 70039 MiB, 0 %, 168.39 W
2026/09/11 09:51:59.379, 0, 70039 MiB, 21 %, 103.94 W
2026/09/11 09:52:00.380, 0, 70039 MiB, 20 %, 119.41 W
2026/09/11 09:52:01.380, 0, 70039 MiB, 20 %, 119.40 W
2026/09/11 09:52:02.380, 0, 70039 MiB, 22 %, 118.10 W
2026/09/11 09:52:03.380, 0, 70039 MiB, 21 %, 119.73 W
2026/09/11 09:52:04.381, 0, 70039 MiB, 21 %, 119.06 W
2026/09/11 09:52:05.381, 0, 70039 MiB, 51 %, 128.31 W
2026/09/11 09:52:06.381, 0, 70039 MiB, 47 %, 134.98 W
2026/09/11 09:52:07.382, 0, 70039 MiB, 6 %, 132.64 W
2026/09/11 09:52:08.382, 0, 70039 MiB, 41 %, 127.68 W
2026/09/11 09:52:09.382, 0, 70041 MiB, 15 %, 122.12 W
2026/09/11 09:52:10.382, 0, 70041 MiB, 0 %, 112.76 W
2026/09/11 09:52:11.383, 0, 70041 MiB, 0 %, 97.83 W
2026/09/11 09:52:12.383, 0, 70041 MiB, 18 %, 116.36 W
2026/09/11 09:52:13.383, 0, 70041 MiB, 0 %, 102.47 W
2026/09/11 09:52:14.383, 0, 70041 MiB, 0 %, 97.67 W
2026/09/11 09:52:15.384, 0, 70041 MiB, 0 %, 97.61 W
2026/09/11 09:52:16.384, 0, 70041 MiB, 0 %, 97.63 W
2026/09/11 09:52:17.384, 0, 70041 MiB, 0 %, 97.61 W
2026/09/11 09:52:18.385, 0, 70041 MiB, 10 %, 125.09 W
2026/09/11 09:52:19.385, 0, 70041 MiB, 0 %, 108.44 W
2026/09/11 09:52:20.385, 0, 70041 MiB, 0 %, 97.62 W
2026/09/11 09:52:21.385, 0, 70041 MiB, 0 %, 97.60 W
2026/09/11 09:52:22.386, 0, 70041 MiB, 0 %, 97.62 W
2026/09/11 09:52:23.386, 0, 70041 MiB, 0 %, 97.61 W
2026/09/11 09:52:24.386, 0, 70041 MiB, 0 %, 97.62 W
2026/09/11 09:52:25.386, 0, 70041 MiB, 2 %, 105.84 W
2026/09/11 09:52:26.387, 0, 70041 MiB, 23 %, 151.52 W
2026/09/11 09:52:27.387, 0, 70041 MiB, 0 %, 125.34 W
2026/09/11 09:52:28.387, 0, 70041 MiB, 0 %, 97.67 W
2026/09/11 09:52:29.388, 0, 70041 MiB, 0 %, 97.70 W
2026/09/11 09:52:30.388, 0, 70041 MiB, 25 %, 110.81 W
2026/09/11 09:52:31.388, 0, 70041 MiB, 25 %, 138.57 W
2026/09/11 09:52:32.388, 0, 70041 MiB, 29 %, 132.46 W
2026/09/11 09:52:33.389, 0, 70041 MiB, 22 %, 140.59 W
2026/09/11 09:52:34.389, 0, 70041 MiB, 21 %, 136.89 W
2026/09/11 09:52:35.389, 0, 70041 MiB, 31 %, 142.74 W
2026/09/11 09:52:36.390, 0, 70041 MiB, 25 %, 141.31 W
2026/09/11 09:52:37.390, 0, 70041 MiB, 23 %, 138.11 W
2026/09/11 09:52:38.390, 0, 70041 MiB, 9 %, 131.87 W
