timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 08:44:28.854, 0, 65995 MiB, 0 %, 96.68 W
2026/09/11 08:44:29.858, 0, 65995 MiB, 27 %, 124.01 W
2026/09/11 08:44:30.859, 0, 65995 MiB, 23 %, 135.98 W
2026/09/11 08:44:31.860, 0, 65995 MiB, 18 %, 135.96 W
2026/09/11 08:44:32.860, 0, 65995 MiB, 28 %, 147.88 W
2026/09/11 08:44:33.860, 0, 65995 MiB, 46 %, 143.03 W
2026/09/11 08:44:34.861, 0, 65995 MiB, 63 %, 155.33 W
2026/09/11 08:44:35.861, 0, 65995 MiB, 82 %, 175.58 W
2026/09/11 08:44:36.861, 0, 65997 MiB, 64 %, 154.06 W
2026/09/11 08:44:37.862, 0, 66687 MiB, 3 %, 150.26 W
2026/09/11 08:44:38.862, 0, 66971 MiB, 14 %, 151.40 W
2026/09/11 08:44:39.863, 0, 66971 MiB, 68 %, 179.27 W
2026/09/11 08:44:40.863, 0, 66971 MiB, 0 %, 130.82 W
2026/09/11 08:44:41.863, 0, 66971 MiB, 41 %, 143.32 W
2026/09/11 08:44:42.864, 0, 66971 MiB, 39 %, 170.46 W
2026/09/11 08:44:43.867, 0, 66971 MiB, 72 %, 178.05 W
2026/09/11 08:44:44.867, 0, 66971 MiB, 40 %, 178.92 W
2026/09/11 08:44:45.868, 0, 66971 MiB, 88 %, 187.93 W
2026/09/11 08:44:46.868, 0, 66971 MiB, 15 %, 135.67 W
2026/09/11 08:44:47.868, 0, 66971 MiB, 20 %, 119.27 W
2026/09/11 08:44:48.869, 0, 66971 MiB, 23 %, 119.57 W
2026/09/11 08:44:49.869, 0, 66971 MiB, 22 %, 119.42 W
2026/09/11 08:44:50.869, 0, 66971 MiB, 22 %, 122.33 W
2026/09/11 08:44:51.870, 0, 66971 MiB, 19 %, 121.93 W
2026/09/11 08:44:52.870, 0, 66971 MiB, 61 %, 137.79 W
2026/09/11 08:44:53.870, 0, 66971 MiB, 44 %, 140.15 W
2026/09/11 08:44:54.871, 0, 66971 MiB, 34 %, 135.98 W
2026/09/11 08:44:55.871, 0, 66971 MiB, 40 %, 135.93 W
2026/09/11 08:44:56.871, 0, 66973 MiB, 38 %, 126.65 W
2026/09/11 08:44:57.871, 0, 66973 MiB, 29 %, 119.16 W
2026/09/11 08:44:58.872, 0, 66973 MiB, 10 %, 108.93 W
2026/09/11 08:44:59.872, 0, 66973 MiB, 57 %, 135.71 W
2026/09/11 08:45:00.872, 0, 66973 MiB, 62 %, 142.35 W
2026/09/11 08:45:01.873, 0, 66973 MiB, 56 %, 138.51 W
2026/09/11 08:45:02.873, 0, 66973 MiB, 60 %, 142.44 W
2026/09/11 08:45:03.873, 0, 66973 MiB, 3 %, 116.89 W
2026/09/11 08:45:04.874, 0, 66973 MiB, 23 %, 121.10 W
2026/09/11 08:45:05.874, 0, 66973 MiB, 26 %, 136.55 W
2026/09/11 08:45:06.874, 0, 66973 MiB, 0 %, 122.69 W
2026/09/11 08:45:07.875, 0, 66973 MiB, 0 %, 100.65 W
2026/09/11 08:45:08.875, 0, 66973 MiB, 0 %, 98.62 W
2026/09/11 08:45:09.875, 0, 66973 MiB, 28 %, 105.46 W
2026/09/11 08:45:10.876, 0, 66973 MiB, 63 %, 123.72 W
2026/09/11 08:45:11.876, 0, 66973 MiB, 0 %, 120.26 W
2026/09/11 08:45:12.876, 0, 66973 MiB, 25 %, 133.13 W
2026/09/11 08:45:13.877, 0, 66973 MiB, 24 %, 138.71 W
2026/09/11 08:45:14.877, 0, 66973 MiB, 28 %, 142.00 W
2026/09/11 08:45:15.877, 0, 66973 MiB, 28 %, 141.69 W
2026/09/11 08:45:16.878, 0, 66973 MiB, 25 %, 143.49 W
2026/09/11 08:45:17.878, 0, 66973 MiB, 30 %, 147.50 W
2026/09/11 08:45:18.878, 0, 66973 MiB, 28 %, 140.58 W
2026/09/11 08:45:19.879, 0, 66973 MiB, 9 %, 133.82 W
