timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 09:44:33.157, 0, 67085 MiB, 0 %, 96.64 W
2026/09/11 09:44:34.161, 0, 67085 MiB, 17 %, 107.04 W
2026/09/11 09:44:35.161, 0, 67085 MiB, 28 %, 128.57 W
2026/09/11 09:44:36.161, 0, 67085 MiB, 11 %, 121.27 W
2026/09/11 09:44:37.162, 0, 67085 MiB, 35 %, 129.46 W
2026/09/11 09:44:38.162, 0, 67085 MiB, 19 %, 129.79 W
2026/09/11 09:44:39.162, 0, 67085 MiB, 11 %, 130.79 W
2026/09/11 09:44:40.163, 0, 67087 MiB, 29 %, 129.07 W
2026/09/11 09:44:41.163, 0, 67089 MiB, 15 %, 148.39 W
2026/09/11 09:44:42.163, 0, 67089 MiB, 48 %, 155.05 W
2026/09/11 09:44:43.163, 0, 67089 MiB, 14 %, 124.75 W
2026/09/11 09:44:44.164, 0, 67091 MiB, 37 %, 141.18 W
2026/09/11 09:44:45.164, 0, 67091 MiB, 0 %, 136.59 W
2026/09/11 09:44:46.164, 0, 67091 MiB, 38 %, 157.19 W
2026/09/11 09:44:47.165, 0, 67091 MiB, 0 %, 97.63 W
2026/09/11 09:44:48.165, 0, 67595 MiB, 72 %, 157.87 W
2026/09/11 09:44:49.166, 0, 67595 MiB, 0 %, 144.90 W
2026/09/11 09:44:50.166, 0, 67595 MiB, 0 %, 97.60 W
2026/09/11 09:44:51.166, 0, 67595 MiB, 0 %, 97.61 W
2026/09/11 09:44:52.167, 0, 67595 MiB, 0 %, 97.65 W
2026/09/11 09:44:53.167, 0, 67595 MiB, 0 %, 97.62 W
2026/09/11 09:44:54.167, 0, 67595 MiB, 61 %, 118.62 W
2026/09/11 09:44:55.167, 0, 68749 MiB, 14 %, 190.07 W
2026/09/11 09:44:56.168, 0, 68749 MiB, 0 %, 99.10 W
2026/09/11 09:44:57.168, 0, 68749 MiB, 10 %, 112.07 W
2026/09/11 09:44:58.168, 0, 68749 MiB, 15 %, 109.85 W
2026/09/11 09:44:59.169, 0, 68749 MiB, 9 %, 111.04 W
2026/09/11 09:45:00.169, 0, 68749 MiB, 9 %, 109.47 W
2026/09/11 09:45:01.169, 0, 68749 MiB, 14 %, 110.03 W
2026/09/11 09:45:02.170, 0, 68749 MiB, 7 %, 111.35 W
2026/09/11 09:45:03.170, 0, 68749 MiB, 14 %, 108.96 W
2026/09/11 09:45:04.170, 0, 68749 MiB, 8 %, 111.64 W
2026/09/11 09:45:05.173, 0, 68749 MiB, 15 %, 111.52 W
2026/09/11 09:45:06.173, 0, 68749 MiB, 11 %, 113.81 W
2026/09/11 09:45:07.174, 0, 68749 MiB, 15 %, 114.73 W
2026/09/11 09:45:08.174, 0, 68749 MiB, 14 %, 111.85 W
2026/09/11 09:45:09.174, 0, 68749 MiB, 17 %, 113.40 W
2026/09/11 09:45:10.175, 0, 68749 MiB, 12 %, 115.50 W
2026/09/11 09:45:11.175, 0, 68749 MiB, 15 %, 116.30 W
2026/09/11 09:45:12.175, 0, 68751 MiB, 18 %, 110.54 W
2026/09/11 09:45:13.175, 0, 68751 MiB, 0 %, 97.74 W
2026/09/11 09:45:14.176, 0, 68751 MiB, 0 %, 106.36 W
2026/09/11 09:45:15.176, 0, 68751 MiB, 0 %, 114.15 W
2026/09/11 09:45:16.176, 0, 68751 MiB, 0 %, 97.63 W
2026/09/11 09:45:17.176, 0, 68751 MiB, 0 %, 97.60 W
2026/09/11 09:45:18.177, 0, 68751 MiB, 0 %, 97.60 W
2026/09/11 09:45:19.177, 0, 68751 MiB, 0 %, 97.60 W
2026/09/11 09:45:20.177, 0, 68751 MiB, 19 %, 112.43 W
2026/09/11 09:45:21.178, 0, 68751 MiB, 0 %, 123.11 W
2026/09/11 09:45:22.178, 0, 68751 MiB, 0 %, 97.60 W
2026/09/11 09:45:23.178, 0, 68751 MiB, 0 %, 97.63 W
2026/09/11 09:45:24.179, 0, 68751 MiB, 0 %, 97.63 W
2026/09/11 09:45:25.179, 0, 68751 MiB, 0 %, 97.61 W
2026/09/11 09:45:26.179, 0, 68751 MiB, 0 %, 97.59 W
2026/09/11 09:45:27.180, 0, 68751 MiB, 0 %, 97.71 W
2026/09/11 09:45:28.180, 0, 68751 MiB, 20 %, 124.08 W
2026/09/11 09:45:29.180, 0, 68751 MiB, 17 %, 145.04 W
2026/09/11 09:45:30.181, 0, 68751 MiB, 0 %, 101.84 W
2026/09/11 09:45:31.181, 0, 68751 MiB, 0 %, 97.67 W
2026/09/11 09:45:32.181, 0, 68751 MiB, 0 %, 97.66 W
2026/09/11 09:45:33.181, 0, 68751 MiB, 16 %, 101.24 W
2026/09/11 09:45:34.182, 0, 68751 MiB, 26 %, 125.63 W
2026/09/11 09:45:35.182, 0, 68751 MiB, 15 %, 127.66 W
2026/09/11 09:45:36.182, 0, 68751 MiB, 8 %, 119.13 W
2026/09/11 09:45:37.183, 0, 68751 MiB, 30 %, 135.84 W
2026/09/11 09:45:38.183, 0, 68751 MiB, 10 %, 125.93 W
2026/09/11 09:45:39.183, 0, 68751 MiB, 34 %, 128.39 W
2026/09/11 09:45:40.184, 0, 68751 MiB, 11 %, 130.71 W
2026/09/11 09:45:41.184, 0, 68751 MiB, 29 %, 133.13 W
2026/09/11 09:45:42.184, 0, 68751 MiB, 12 %, 126.40 W
2026/09/11 09:45:43.185, 0, 68751 MiB, 9 %, 127.49 W
2026/09/11 09:45:44.185, 0, 68751 MiB, 24 %, 122.18 W
