timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:02:40.853, 0, 66021 MiB, 0 %, 96.68 W
2026/09/11 11:02:41.857, 0, 66021 MiB, 25 %, 110.28 W
2026/09/11 11:02:42.858, 0, 66021 MiB, 30 %, 123.94 W
2026/09/11 11:02:43.858, 0, 66021 MiB, 26 %, 125.64 W
2026/09/11 11:02:44.858, 0, 66021 MiB, 26 %, 126.86 W
2026/09/11 11:02:45.859, 0, 66021 MiB, 41 %, 124.27 W
2026/09/11 11:02:46.859, 0, 66021 MiB, 42 %, 137.02 W
2026/09/11 11:02:47.859, 0, 66021 MiB, 68 %, 142.42 W
2026/09/11 11:02:48.859, 0, 66025 MiB, 33 %, 128.62 W
2026/09/11 11:02:49.861, 0, 66207 MiB, 7 %, 139.45 W
2026/09/11 11:02:50.861, 0, 66529 MiB, 9 %, 138.03 W
2026/09/11 11:02:51.862, 0, 67325 MiB, 0 %, 140.60 W
2026/09/11 11:02:52.862, 0, 67325 MiB, 0 %, 97.76 W
2026/09/11 11:02:53.862, 0, 67889 MiB, 25 %, 166.21 W
2026/09/11 11:02:54.863, 0, 67889 MiB, 0 %, 119.39 W
2026/09/11 11:02:55.863, 0, 67889 MiB, 0 %, 97.62 W
2026/09/11 11:02:56.863, 0, 67889 MiB, 0 %, 97.60 W
2026/09/11 11:02:57.864, 0, 67889 MiB, 0 %, 97.55 W
2026/09/11 11:02:58.864, 0, 67889 MiB, 0 %, 97.55 W
2026/09/11 11:02:59.864, 0, 69555 MiB, 19 %, 146.76 W
2026/09/11 11:03:00.865, 0, 69555 MiB, 0 %, 139.14 W
2026/09/11 11:03:01.865, 0, 69555 MiB, 14 %, 99.91 W
2026/09/11 11:03:02.865, 0, 69555 MiB, 26 %, 118.18 W
2026/09/11 11:03:03.866, 0, 69555 MiB, 16 %, 111.85 W
2026/09/11 11:03:04.866, 0, 69555 MiB, 16 %, 111.58 W
2026/09/11 11:03:05.866, 0, 69555 MiB, 19 %, 110.98 W
2026/09/11 11:03:06.867, 0, 69555 MiB, 16 %, 112.97 W
2026/09/11 11:03:07.867, 0, 69555 MiB, 41 %, 115.74 W
2026/09/11 11:03:08.867, 0, 69555 MiB, 66 %, 126.54 W
2026/09/11 11:03:09.868, 0, 69555 MiB, 55 %, 125.23 W
2026/09/11 11:03:10.868, 0, 69557 MiB, 46 %, 122.92 W
2026/09/11 11:03:11.868, 0, 69557 MiB, 20 %, 114.54 W
2026/09/11 11:03:12.869, 0, 69557 MiB, 0 %, 107.19 W
2026/09/11 11:03:13.869, 0, 69557 MiB, 0 %, 97.65 W
2026/09/11 11:03:14.869, 0, 69557 MiB, 24 %, 117.78 W
2026/09/11 11:03:15.870, 0, 69557 MiB, 0 %, 97.72 W
2026/09/11 11:03:16.870, 0, 69557 MiB, 0 %, 97.62 W
2026/09/11 11:03:17.870, 0, 69557 MiB, 0 %, 97.61 W
2026/09/11 11:03:18.871, 0, 69557 MiB, 0 %, 97.63 W
2026/09/11 11:03:19.871, 0, 69557 MiB, 3 %, 98.49 W
2026/09/11 11:03:20.871, 0, 69557 MiB, 22 %, 130.08 W
2026/09/11 11:03:21.872, 0, 69557 MiB, 0 %, 100.14 W
2026/09/11 11:03:22.872, 0, 69557 MiB, 0 %, 97.61 W
2026/09/11 11:03:23.872, 0, 69557 MiB, 0 %, 97.60 W
2026/09/11 11:03:24.873, 0, 69557 MiB, 0 %, 97.62 W
2026/09/11 11:03:25.873, 0, 69557 MiB, 0 %, 97.62 W
2026/09/11 11:03:26.873, 0, 69557 MiB, 0 %, 97.80 W
2026/09/11 11:03:27.874, 0, 69557 MiB, 31 %, 129.01 W
2026/09/11 11:03:28.874, 0, 69557 MiB, 17 %, 138.15 W
2026/09/11 11:03:29.874, 0, 69557 MiB, 0 %, 98.08 W
2026/09/11 11:03:30.874, 0, 69557 MiB, 0 %, 97.66 W
2026/09/11 11:03:31.875, 0, 69557 MiB, 0 %, 97.76 W
2026/09/11 11:03:32.875, 0, 69557 MiB, 24 %, 118.47 W
2026/09/11 11:03:33.875, 0, 69557 MiB, 20 %, 124.61 W
2026/09/11 11:03:34.875, 0, 69557 MiB, 25 %, 126.03 W
2026/09/11 11:03:35.876, 0, 69557 MiB, 28 %, 127.09 W
2026/09/11 11:03:36.876, 0, 69557 MiB, 33 %, 127.34 W
2026/09/11 11:03:37.876, 0, 69557 MiB, 26 %, 128.74 W
2026/09/11 11:03:38.877, 0, 69557 MiB, 22 %, 125.74 W
2026/09/11 11:03:39.877, 0, 69557 MiB, 28 %, 121.28 W
