timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 08:49:41.462, 0, 65985 MiB, 0 %, 96.74 W
2026/09/11 08:49:42.467, 0, 66361 MiB, 8 %, 115.20 W
2026/09/11 08:49:43.467, 0, 66989 MiB, 14 %, 165.77 W
2026/09/11 08:49:44.467, 0, 66991 MiB, 64 %, 173.45 W
2026/09/11 08:49:45.467, 0, 66991 MiB, 10 %, 129.98 W
2026/09/11 08:49:46.468, 0, 66991 MiB, 66 %, 183.10 W
2026/09/11 08:49:47.468, 0, 66991 MiB, 76 %, 189.05 W
2026/09/11 08:49:48.468, 0, 66991 MiB, 75 %, 196.62 W
2026/09/11 08:49:49.469, 0, 66991 MiB, 73 %, 184.29 W
2026/09/11 08:49:50.469, 0, 66991 MiB, 0 %, 168.02 W
2026/09/11 08:49:51.469, 0, 66993 MiB, 10 %, 116.86 W
2026/09/11 08:49:52.470, 0, 67465 MiB, 34 %, 127.79 W
2026/09/11 08:49:53.470, 0, 67465 MiB, 0 %, 124.54 W
2026/09/11 08:49:54.470, 0, 67977 MiB, 21 %, 110.01 W
2026/09/11 08:49:55.470, 0, 67977 MiB, 0 %, 129.80 W
2026/09/11 08:49:56.471, 0, 67977 MiB, 0 %, 97.93 W
2026/09/11 08:49:57.471, 0, 67977 MiB, 0 %, 97.69 W
2026/09/11 08:49:58.471, 0, 67977 MiB, 0 %, 97.67 W
2026/09/11 08:49:59.472, 0, 67977 MiB, 42 %, 106.67 W
2026/09/11 08:50:00.473, 0, 67977 MiB, 21 %, 120.61 W
2026/09/11 08:50:01.473, 0, 67977 MiB, 35 %, 139.28 W
2026/09/11 08:50:02.473, 0, 67977 MiB, 0 %, 132.19 W
2026/09/11 08:50:03.474, 0, 67977 MiB, 0 %, 98.11 W
2026/09/11 08:50:04.474, 0, 67977 MiB, 0 %, 97.91 W
2026/09/11 08:50:05.474, 0, 67977 MiB, 0 %, 97.82 W
