timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:41:54.164, 0, 67277 MiB, 0 %, 96.72 W
2026/09/11 11:41:55.169, 0, 67279 MiB, 25 %, 118.95 W
2026/09/11 11:41:56.169, 0, 67279 MiB, 34 %, 139.14 W
2026/09/11 11:41:57.169, 0, 67279 MiB, 34 %, 135.36 W
2026/09/11 11:41:58.170, 0, 67279 MiB, 28 %, 144.40 W
2026/09/11 11:41:59.170, 0, 67279 MiB, 24 %, 136.62 W
2026/09/11 11:42:00.170, 0, 67279 MiB, 51 %, 163.60 W
2026/09/11 11:42:01.171, 0, 67279 MiB, 54 %, 171.85 W
2026/09/11 11:42:02.171, 0, 67279 MiB, 50 %, 155.53 W
2026/09/11 11:42:03.171, 0, 67505 MiB, 21 %, 158.93 W
2026/09/11 11:42:04.171, 0, 67851 MiB, 18 %, 160.04 W
2026/09/11 11:42:05.172, 0, 67851 MiB, 0 %, 97.73 W
2026/09/11 11:42:06.172, 0, 67851 MiB, 67 %, 168.95 W
2026/09/11 11:42:07.172, 0, 68035 MiB, 0 %, 140.42 W
2026/09/11 11:42:08.173, 0, 68035 MiB, 0 %, 97.69 W
2026/09/11 11:42:09.173, 0, 68035 MiB, 0 %, 97.64 W
2026/09/11 11:42:10.173, 0, 68513 MiB, 38 %, 183.54 W
2026/09/11 11:42:11.173, 0, 68513 MiB, 0 %, 158.21 W
2026/09/11 11:42:12.174, 0, 68513 MiB, 23 %, 115.76 W
2026/09/11 11:42:13.174, 0, 68513 MiB, 20 %, 123.70 W
2026/09/11 11:42:14.174, 0, 68513 MiB, 20 %, 122.87 W
2026/09/11 11:42:15.175, 0, 68513 MiB, 23 %, 125.48 W
2026/09/11 11:42:16.176, 0, 68513 MiB, 12 %, 125.00 W
2026/09/11 11:42:17.177, 0, 68513 MiB, 59 %, 146.15 W
2026/09/11 11:42:18.177, 0, 68513 MiB, 57 %, 147.54 W
2026/09/11 11:42:19.177, 0, 68513 MiB, 38 %, 137.65 W
2026/09/11 11:42:20.178, 0, 68513 MiB, 0 %, 119.81 W
2026/09/11 11:42:21.178, 0, 68513 MiB, 0 %, 114.41 W
2026/09/11 11:42:22.179, 0, 68513 MiB, 32 %, 109.48 W
2026/09/11 11:42:23.179, 0, 68513 MiB, 10 %, 141.54 W
2026/09/11 11:42:24.179, 0, 68513 MiB, 0 %, 98.18 W
2026/09/11 11:42:25.180, 0, 68513 MiB, 0 %, 98.17 W
2026/09/11 11:42:26.180, 0, 68513 MiB, 20 %, 119.02 W
2026/09/11 11:42:27.180, 0, 68513 MiB, 0 %, 122.19 W
2026/09/11 11:42:28.181, 0, 68513 MiB, 0 %, 98.12 W
2026/09/11 11:42:29.181, 0, 68513 MiB, 0 %, 98.12 W
2026/09/11 11:42:30.181, 0, 68513 MiB, 0 %, 98.14 W
2026/09/11 11:42:31.182, 0, 68513 MiB, 0 %, 98.15 W
2026/09/11 11:42:32.182, 0, 68513 MiB, 0 %, 98.16 W
2026/09/11 11:42:33.182, 0, 68513 MiB, 0 %, 98.14 W
2026/09/11 11:42:34.183, 0, 68513 MiB, 0 %, 101.87 W
2026/09/11 11:42:35.183, 0, 68513 MiB, 55 %, 155.98 W
2026/09/11 11:42:36.183, 0, 68513 MiB, 56 %, 158.51 W
2026/09/11 11:42:37.183, 0, 68513 MiB, 61 %, 157.61 W
2026/09/11 11:42:38.184, 0, 68513 MiB, 0 %, 125.73 W
2026/09/11 11:42:39.184, 0, 68513 MiB, 25 %, 132.60 W
2026/09/11 11:42:40.184, 0, 68513 MiB, 16 %, 133.95 W
2026/09/11 11:42:41.185, 0, 68513 MiB, 18 %, 136.63 W
2026/09/11 11:42:42.185, 0, 68513 MiB, 16 %, 138.25 W
2026/09/11 11:42:43.186, 0, 68513 MiB, 22 %, 139.69 W
2026/09/11 11:42:44.186, 0, 68513 MiB, 24 %, 148.20 W
2026/09/11 11:42:45.186, 0, 68513 MiB, 33 %, 139.24 W
2026/09/11 11:42:46.187, 0, 68513 MiB, 28 %, 138.38 W
