timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:15:10.615, 0, 67277 MiB, 0 %, 96.65 W
2026/09/11 11:15:11.619, 0, 67279 MiB, 29 %, 116.80 W
2026/09/11 11:15:12.619, 0, 67279 MiB, 35 %, 137.53 W
2026/09/11 11:15:13.619, 0, 67279 MiB, 33 %, 132.75 W
2026/09/11 11:15:14.620, 0, 67279 MiB, 38 %, 151.06 W
2026/09/11 11:15:15.620, 0, 67279 MiB, 49 %, 134.42 W
2026/09/11 11:15:16.621, 0, 67279 MiB, 63 %, 172.37 W
2026/09/11 11:15:17.621, 0, 67279 MiB, 49 %, 173.01 W
2026/09/11 11:15:18.621, 0, 67279 MiB, 64 %, 153.53 W
2026/09/11 11:15:19.622, 0, 67505 MiB, 20 %, 148.45 W
2026/09/11 11:15:20.622, 0, 67851 MiB, 38 %, 161.72 W
2026/09/11 11:15:21.622, 0, 67851 MiB, 0 %, 97.64 W
2026/09/11 11:15:22.622, 0, 67851 MiB, 79 %, 173.56 W
2026/09/11 11:15:23.623, 0, 67851 MiB, 0 %, 145.84 W
2026/09/11 11:15:24.623, 0, 67851 MiB, 0 %, 97.61 W
2026/09/11 11:15:25.623, 0, 67851 MiB, 0 %, 98.08 W
2026/09/11 11:15:26.624, 0, 68321 MiB, 36 %, 192.41 W
2026/09/11 11:15:27.624, 0, 68321 MiB, 0 %, 152.87 W
2026/09/11 11:15:28.624, 0, 68321 MiB, 19 %, 121.50 W
2026/09/11 11:15:29.625, 0, 68321 MiB, 21 %, 127.73 W
2026/09/11 11:15:30.625, 0, 68321 MiB, 24 %, 125.99 W
2026/09/11 11:15:31.625, 0, 68321 MiB, 27 %, 128.32 W
2026/09/11 11:15:32.626, 0, 68321 MiB, 54 %, 135.40 W
2026/09/11 11:15:33.626, 0, 68321 MiB, 59 %, 158.67 W
2026/09/11 11:15:34.626, 0, 68321 MiB, 54 %, 137.89 W
2026/09/11 11:15:35.627, 0, 68321 MiB, 15 %, 131.71 W
2026/09/11 11:15:36.627, 0, 68321 MiB, 0 %, 113.22 W
2026/09/11 11:15:37.628, 0, 68321 MiB, 22 %, 106.99 W
2026/09/11 11:15:38.628, 0, 68321 MiB, 46 %, 149.75 W
2026/09/11 11:15:39.628, 0, 68321 MiB, 0 %, 98.43 W
2026/09/11 11:15:40.629, 0, 68321 MiB, 0 %, 98.10 W
2026/09/11 11:15:41.629, 0, 68321 MiB, 9 %, 114.10 W
2026/09/11 11:15:42.629, 0, 68321 MiB, 0 %, 131.29 W
2026/09/11 11:15:43.630, 0, 68321 MiB, 0 %, 98.11 W
2026/09/11 11:15:44.630, 0, 68321 MiB, 0 %, 98.09 W
2026/09/11 11:15:45.630, 0, 68321 MiB, 0 %, 98.13 W
2026/09/11 11:15:46.631, 0, 68321 MiB, 0 %, 98.15 W
2026/09/11 11:15:47.631, 0, 68321 MiB, 0 %, 98.12 W
2026/09/11 11:15:48.631, 0, 68321 MiB, 38 %, 110.54 W
2026/09/11 11:15:49.632, 0, 68321 MiB, 24 %, 142.28 W
2026/09/11 11:15:50.632, 0, 68321 MiB, 15 %, 115.02 W
2026/09/11 11:15:51.632, 0, 68321 MiB, 28 %, 130.04 W
2026/09/11 11:15:52.633, 0, 68321 MiB, 38 %, 130.95 W
2026/09/11 11:15:53.633, 0, 68321 MiB, 16 %, 127.70 W
2026/09/11 11:15:54.633, 0, 68321 MiB, 23 %, 133.16 W
2026/09/11 11:15:55.633, 0, 68321 MiB, 3 %, 136.91 W
2026/09/11 11:15:56.634, 0, 68321 MiB, 36 %, 122.15 W
2026/09/11 11:15:57.634, 0, 68321 MiB, 28 %, 138.58 W
2026/09/11 11:15:58.634, 0, 68321 MiB, 38 %, 137.80 W
2026/09/11 11:15:59.635, 0, 68321 MiB, 17 %, 139.66 W
2026/09/11 11:16:00.635, 0, 68321 MiB, 21 %, 136.11 W
2026/09/11 11:16:01.635, 0, 68321 MiB, 35 %, 147.61 W
2026/09/11 11:16:02.636, 0, 68321 MiB, 26 %, 139.36 W
2026/09/11 11:16:03.636, 0, 68321 MiB, 19 %, 137.50 W
