timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:26:48.262, 0, 67601 MiB, 0 %, 96.32 W
2026/09/11 11:26:49.265, 0, 67603 MiB, 34 %, 117.29 W
2026/09/11 11:26:50.266, 0, 67603 MiB, 21 %, 138.80 W
2026/09/11 11:26:51.266, 0, 67603 MiB, 24 %, 136.60 W
2026/09/11 11:26:52.267, 0, 67603 MiB, 20 %, 145.92 W
2026/09/11 11:26:53.267, 0, 67603 MiB, 33 %, 136.76 W
2026/09/11 11:26:54.267, 0, 67603 MiB, 66 %, 172.57 W
2026/09/11 11:26:55.268, 0, 67603 MiB, 7 %, 158.48 W
2026/09/11 11:26:56.268, 0, 67683 MiB, 46 %, 156.83 W
2026/09/11 11:26:57.268, 0, 68037 MiB, 66 %, 159.77 W
2026/09/11 11:26:58.269, 0, 68039 MiB, 0 %, 129.14 W
2026/09/11 11:26:59.269, 0, 68039 MiB, 54 %, 123.92 W
2026/09/11 11:27:00.269, 0, 68039 MiB, 49 %, 186.93 W
2026/09/11 11:27:01.269, 0, 68039 MiB, 0 %, 97.63 W
2026/09/11 11:27:02.270, 0, 68039 MiB, 0 %, 97.62 W
2026/09/11 11:27:03.270, 0, 68811 MiB, 74 %, 144.03 W
2026/09/11 11:27:04.270, 0, 68837 MiB, 0 %, 156.95 W
2026/09/11 11:27:05.271, 0, 68837 MiB, 31 %, 109.48 W
2026/09/11 11:27:06.271, 0, 68837 MiB, 22 %, 126.71 W
2026/09/11 11:27:07.271, 0, 68837 MiB, 21 %, 124.81 W
2026/09/11 11:27:08.272, 0, 68837 MiB, 22 %, 123.23 W
2026/09/11 11:27:09.272, 0, 68837 MiB, 15 %, 125.92 W
2026/09/11 11:27:10.272, 0, 68837 MiB, 47 %, 148.00 W
2026/09/11 11:27:11.273, 0, 68837 MiB, 53 %, 147.16 W
2026/09/11 11:27:12.273, 0, 68837 MiB, 60 %, 138.08 W
2026/09/11 11:27:13.273, 0, 68837 MiB, 0 %, 117.25 W
2026/09/11 11:27:14.274, 0, 68837 MiB, 0 %, 111.72 W
2026/09/11 11:27:15.274, 0, 68837 MiB, 40 %, 113.52 W
2026/09/11 11:27:16.274, 0, 68837 MiB, 0 %, 137.07 W
2026/09/11 11:27:17.275, 0, 68837 MiB, 0 %, 98.10 W
2026/09/11 11:27:18.275, 0, 68837 MiB, 0 %, 98.05 W
2026/09/11 11:27:19.275, 0, 68837 MiB, 40 %, 129.60 W
2026/09/11 11:27:20.276, 0, 68837 MiB, 0 %, 109.40 W
2026/09/11 11:27:21.276, 0, 68837 MiB, 0 %, 98.01 W
2026/09/11 11:27:22.276, 0, 68837 MiB, 0 %, 97.87 W
2026/09/11 11:27:23.277, 0, 68837 MiB, 0 %, 97.70 W
2026/09/11 11:27:24.277, 0, 68837 MiB, 0 %, 97.71 W
2026/09/11 11:27:25.277, 0, 68837 MiB, 0 %, 97.65 W
2026/09/11 11:27:26.278, 0, 68837 MiB, 26 %, 129.96 W
2026/09/11 11:27:27.278, 0, 68837 MiB, 0 %, 131.30 W
2026/09/11 11:27:28.278, 0, 68837 MiB, 0 %, 100.30 W
2026/09/11 11:27:29.279, 0, 68837 MiB, 0 %, 97.92 W
2026/09/11 11:27:30.279, 0, 68837 MiB, 23 %, 112.14 W
2026/09/11 11:27:31.279, 0, 68837 MiB, 10 %, 124.80 W
2026/09/11 11:27:32.280, 0, 68837 MiB, 36 %, 134.59 W
2026/09/11 11:27:33.280, 0, 68837 MiB, 0 %, 130.78 W
2026/09/11 11:27:34.280, 0, 68837 MiB, 18 %, 139.81 W
2026/09/11 11:27:35.280, 0, 68837 MiB, 19 %, 134.08 W
2026/09/11 11:27:36.281, 0, 68837 MiB, 26 %, 147.07 W
2026/09/11 11:27:37.281, 0, 68837 MiB, 19 %, 138.49 W
2026/09/11 11:27:38.281, 0, 68837 MiB, 21 %, 143.07 W
2026/09/11 11:27:39.282, 0, 68837 MiB, 17 %, 144.54 W
2026/09/11 11:27:40.282, 0, 68837 MiB, 18 %, 137.39 W
timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:30:50.289, 0, 68837 MiB, 0 %, 96.79 W
2026/09/11 11:30:51.293, 0, 68837 MiB, 28 %, 119.90 W
2026/09/11 11:30:52.294, 0, 68837 MiB, 30 %, 139.04 W
2026/09/11 11:30:53.294, 0, 68837 MiB, 25 %, 136.88 W
2026/09/11 11:30:54.294, 0, 68837 MiB, 29 %, 144.32 W
