timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:36:11.839, 0, 67601 MiB, 0 %, 96.73 W
2026/09/11 11:36:12.843, 0, 67603 MiB, 35 %, 114.50 W
2026/09/11 11:36:13.843, 0, 67603 MiB, 33 %, 139.35 W
2026/09/11 11:36:14.847, 0, 67603 MiB, 33 %, 131.71 W
2026/09/11 11:36:15.848, 0, 67603 MiB, 25 %, 143.88 W
2026/09/11 11:36:16.848, 0, 67603 MiB, 37 %, 136.09 W
2026/09/11 11:36:17.848, 0, 67603 MiB, 57 %, 169.81 W
2026/09/11 11:36:18.848, 0, 67603 MiB, 55 %, 164.34 W
2026/09/11 11:36:19.849, 0, 67603 MiB, 18 %, 156.21 W
2026/09/11 11:36:20.849, 0, 67829 MiB, 3 %, 148.85 W
2026/09/11 11:36:21.850, 0, 67991 MiB, 0 %, 159.57 W
2026/09/11 11:36:22.850, 0, 67991 MiB, 2 %, 98.43 W
2026/09/11 11:36:23.850, 0, 68161 MiB, 64 %, 199.34 W
2026/09/11 11:36:24.850, 0, 68161 MiB, 0 %, 123.16 W
2026/09/11 11:36:25.851, 0, 68161 MiB, 0 %, 97.64 W
2026/09/11 11:36:26.851, 0, 68649 MiB, 50 %, 111.09 W
2026/09/11 11:36:27.851, 0, 69183 MiB, 31 %, 195.74 W
2026/09/11 11:36:28.852, 0, 69183 MiB, 0 %, 109.93 W
2026/09/11 11:36:29.852, 0, 69183 MiB, 23 %, 124.70 W
2026/09/11 11:36:30.852, 0, 69183 MiB, 20 %, 129.03 W
2026/09/11 11:36:31.853, 0, 69183 MiB, 24 %, 126.70 W
2026/09/11 11:36:32.853, 0, 69183 MiB, 9 %, 124.56 W
2026/09/11 11:36:33.855, 0, 69183 MiB, 53 %, 141.79 W
2026/09/11 11:36:34.856, 0, 69183 MiB, 54 %, 148.41 W
2026/09/11 11:36:35.856, 0, 69183 MiB, 55 %, 131.67 W
2026/09/11 11:36:36.856, 0, 69183 MiB, 23 %, 130.70 W
2026/09/11 11:36:37.856, 0, 69183 MiB, 0 %, 112.56 W
2026/09/11 11:36:38.857, 0, 69183 MiB, 0 %, 99.28 W
2026/09/11 11:36:39.857, 0, 69183 MiB, 60 %, 152.01 W
2026/09/11 11:36:40.857, 0, 69183 MiB, 0 %, 98.24 W
2026/09/11 11:36:41.858, 0, 69183 MiB, 0 %, 98.11 W
2026/09/11 11:36:42.858, 0, 69183 MiB, 16 %, 118.99 W
2026/09/11 11:36:43.858, 0, 69183 MiB, 0 %, 118.28 W
2026/09/11 11:36:44.859, 0, 69183 MiB, 0 %, 98.07 W
2026/09/11 11:36:45.859, 0, 69183 MiB, 0 %, 98.10 W
2026/09/11 11:36:46.859, 0, 69183 MiB, 0 %, 98.10 W
2026/09/11 11:36:47.859, 0, 69183 MiB, 0 %, 98.08 W
2026/09/11 11:36:48.860, 0, 69183 MiB, 0 %, 98.04 W
2026/09/11 11:36:49.860, 0, 69183 MiB, 0 %, 97.96 W
2026/09/11 11:36:50.860, 0, 69183 MiB, 0 %, 97.81 W
2026/09/11 11:36:51.860, 0, 69183 MiB, 55 %, 133.93 W
2026/09/11 11:36:52.861, 0, 69183 MiB, 65 %, 164.15 W
2026/09/11 11:36:53.861, 0, 69183 MiB, 65 %, 165.14 W
2026/09/11 11:36:54.861, 0, 69183 MiB, 0 %, 136.40 W
2026/09/11 11:36:55.861, 0, 69183 MiB, 22 %, 131.55 W
2026/09/11 11:36:56.862, 0, 69183 MiB, 12 %, 134.07 W
2026/09/11 11:36:57.862, 0, 69183 MiB, 21 %, 137.87 W
2026/09/11 11:36:58.862, 0, 69183 MiB, 18 %, 141.73 W
2026/09/11 11:36:59.863, 0, 69183 MiB, 19 %, 132.15 W
2026/09/11 11:37:00.863, 0, 69183 MiB, 25 %, 146.22 W
2026/09/11 11:37:01.863, 0, 69183 MiB, 19 %, 139.60 W
2026/09/11 11:37:02.864, 0, 69183 MiB, 20 %, 138.32 W
